inst_id,name,city,district,org_type,inst_kind,address,phone,website,approved_capacity,enrolled,staff_count,teacher_count,status,child_service,data_sources
KC6F5A4CBDE,新北市三峽區民義國民小學附設幼兒園,新北市,三峽區,公立,國小附設幼兒園,白雞路40號,(02)26711895#841,http://tw.class.uschoolnet.com/class/?csid=css000000181882,30,,,,,無,官方主檔
KA614749434,新北市三峽區農會附設新北市私立幼兒園,新北市,三峽區,私立,法人公司附設幼兒園,長泰街98巷5號2樓,(02)26711002#126,http://samhsia.topschool.com.tw/,89,,,,,無,官方主檔
KF984F05B3B,新北市中園非營利幼兒園(委託財團法人成長文教基金會辦理),新北市,三峽區,非營利,獨立幼兒園,弘園街22號,(02)86720070,https://sites.google.com/view/20190801zhongyuan/,136,121,18,13,,無,官方主檔＋決算報告
KEC01AF1FDC,新北市佳家非營利幼兒園(委託財團法人享翔葉克膜教育基金會辦理),新北市,三峽區,非營利,獨立幼兒園,國北街2號1樓,(02)26730573,https://www.facebook.com/share/19GcdUSK1i/?mibextid=wwXIfr,90,,,,,無,官方主檔
KD3830F6D52,新北市北大非營利幼兒園(委託明新學校財團法人明新科技大學辦理),新北市,三峽區,非營利,獨立幼兒園,國光街100號A棟1樓至2樓,(02)26747373,,182,,,,,無,官方主檔
K2415A70C05,新北市安溪非營利幼兒園(委託社團法人桃園市教保服務人員協會辦理),新北市,三峽區,非營利,獨立幼兒園,中華路42號,(02)26718607,,136,118,18,12,,無,官方主檔＋決算報告
K25B89B6B3E,新北市漢翔非營利幼兒園(委託財團法人三之三生命教育基金會辦理),新北市,三峽區,非營利,獨立幼兒園,大學路218號1至3樓,(02)26729891,,76,72,8,7,,無,官方主檔＋決算報告
K7D6DA71B9D,新北市私立佩思幼兒園,新北市,三峽區,私立,獨立幼兒園,中華路25號1樓,(02)26728882,,29,,,,,無,官方主檔
K7144F44D09,新北市私立佳兒幼兒園,新北市,三峽區,私立,獨立幼兒園,中正路1段108巷30號1-2樓,(02)26718964,新北市私立佳兒幼兒園臉書粉專,210,,,,,無,官方主檔
KB01C06EA06,新北市私立佳宜幼兒園,新北市,三峽區,私立,獨立幼兒園,介壽路1段183號1、2樓,(02)26713610,,210,,,,,無,官方主檔
KAC058BBD25,新北市私立北大幼兒園,新北市,三峽區,私立,獨立幼兒園,復興路177巷8號1樓、10號1、2樓,(02)26721286,,60,,,,,無,官方主檔
K6F6CD55240,新北市私立啟育藝術幼兒園,新北市,三峽區,私立,獨立幼兒園,民生街59號1、2、3樓及民生街27巷14、16、18、20、22號各1樓,(02)26719995,chiyu.topschool.com.tw,384,,,,,有，人數：76,官方主檔
K09C2FF706D,新北市私立娃娃國幼兒園,新北市,三峽區,私立,獨立幼兒園,大義路239號,(02)86719717,,45,,,,,無,官方主檔
KC09557BE7B,新北市私立小甜甜幼兒園,新北市,三峽區,私立,獨立幼兒園,中山路106巷17弄14號1、2樓,(02)86710663,http://kids-sweet.blogkids.net/,61,,,,,無,官方主檔
K19BAA2D55D,新北市私立山姆叔叔幼兒園,新北市,三峽區,私立,獨立幼兒園,學勤路125號1.2樓,(02)86712899#9,,146,,,,,無,官方主檔
KCC1AB16535,新北市私立快樂靜思園幼兒園,新北市,三峽區,私立,獨立幼兒園,中華路15巷5號1樓(含夾層)、7號1樓(含夾層),(02)86717127,https://www.facebook.com/HappyJingSiyuankindergarten/,29,,,,,無,官方主檔
K5534ACC8C4,新北市私立恆育幼兒園,新北市,三峽區,私立,獨立幼兒園,"橫溪路99巷76,78,80號",(02)86763857,http://hungyu.pckids.com.tw/,75,,,,,無,官方主檔
K7E6F1457CB,新北市私立文化幼兒園,新北市,三峽區,私立,獨立幼兒園,大勇路3巷1、3號,(02)26717156,,60,,,,,,官方主檔
KE74D409810,新北市私立文強幼兒園,新北市,三峽區,私立,獨立幼兒園,中山路257巷2號、4號1樓,(02)26718832,,60,,,,,無,官方主檔
K5C9A3C9AA9,新北市私立東北藝園幼兒園,新北市,三峽區,私立,獨立幼兒園,民族街28巷9弄12、16、20號各1樓,(02)26713321,https://www.facebook.com/treasure1989,93,,,,,無,官方主檔
K5A6E9E2D2C,新北市私立東橙幼兒園,新北市,三峽區,私立,獨立幼兒園,大德路70號及72號1、2樓,(02)26731996,,146,,,,,無,官方主檔
KEF0A7CE676,新北市私立溫特爾幼兒園,新北市,三峽區,私立,獨立幼兒園,三樹路336號1、2、3樓,(02)26718181,,495,,,,,有，人數：40,官方主檔
K78A58F60EF,新北市私立瑪莉亞蒙特梭利幼兒園,新北市,三峽區,私立,獨立幼兒園,大德路493號1樓(含夾層),(02)86726343,http://Maria.topschool.com.tw,60,,,,,無,官方主檔
K53EC5E936C,新北市私立璦俐兒幼兒園,新北市,三峽區,私立,獨立幼兒園,"大同路1-5號1,2樓",(02)26742222,,60,,,,,無,官方主檔
KD97C0104FE,新北市私立童妍幼兒園,新北市,三峽區,私立,獨立幼兒園,大學路151號1樓,(02)86710636,,90,,,,,無,官方主檔
K08F4617608,新北市私立童話村幼兒園,新北市,三峽區,私立,獨立幼兒園,光明路100之6號2樓,(02)86725570,,44,,,,,無,官方主檔
KBF0D897450,新北市私立聖母幼兒園,新北市,三峽區,私立,獨立幼兒園,中園街71-1號,(02)86713100,http://hmk.topschool.com.tw,60,,,,,無,官方主檔
K8171DCF07F,新北市私立育全三峽幼兒園,新北市,三峽區,私立,獨立幼兒園,長泰街24號1樓、24之1號1樓、2樓、3樓,(02)26748181,,346,,,,,無,官方主檔
K1F759FBA7C,新北市私立金祥慈幼兒園,新北市,三峽區,私立,獨立幼兒園,和平街36巷7弄1號1.2樓,(02)26741273,,57,,,,,無,官方主檔
K3C05920BAF,新北市立三峽國民中學附設幼兒園,新北市,三峽區,公立,國中附設幼兒園,復興路238號,(02)26711043#300,http://163.20.129.5/class/index.php?groupname=w1212,76,,,,,無,官方主檔
K6ACD070BAE,新北市立三峽幼兒園,新北市,三峽區,公立,獨立幼兒園,溪東路218巷1號2樓,(02)86762565,https://sanxiaedu.blogspot.com/,85,,,,,無,官方主檔
KE47350C09E,新北市立三峽幼兒園中興分班,新北市,三峽區,公立,獨立幼兒園,介壽路二段136巷63號,(02)86763332#28,,30,,,,,無,官方主檔
K6401E9A647,新北市立三峽幼兒園龍埔分班,新北市,三峽區,公立,獨立幼兒園,三樹路214巷9號,(02)26733873,,80,,,,,無,官方主檔
K671FCBD993,新北市立安溪國民中學附設幼兒園,新北市,三峽區,公立,國中附設幼兒園,大同路135號,(02)26717851#501,https://www.facebook.com/asjh.kid/?ref=bookmarks,166,,,,,無,官方主檔
K8CC5901358,新北市立插角森林實驗小學附設幼兒園,新北市,三峽區,公立,國小附設幼兒園,39號,(02)26720230#840,https://www.facebook.com/a860602,30,,,,,無,官方主檔
K54E0E6A4A2,新北市龍埔成長非營利幼兒園(委託財團法人成長文教基金會辦理),新北市,三峽區,非營利,獨立幼兒園,大學路6號,(02)86719390,,90,71,12,9,,無,官方主檔＋決算報告
KB573503614,清福長照社團法人附設新北市私立清福幼兒園,新北市,三峽區,私立,法人公司附設幼兒園,介壽路1段261號1樓,(02)86726006,,30,,,,,無,官方主檔
K266ABF8E96,財團法人享翔葉克膜教育基金會附設新北市私立翔耀幼兒園,新北市,三峽區,私立,法人公司附設幼兒園,大德路302號1樓,(02)26730873,,66,,,,,無,官方主檔
KE84D31D177,新北市三芝區三芝國民小學附設幼兒園,新北市,三芝區,公立,國小附設幼兒園,育英街22號,(02)26362005#160,https://sites.google.com/kidmail.ntpc.edu.tw/k100133/%E9%A6%96%E9%A0%81,106,,,,,無,官方主檔
KABEE61AA53,新北市三芝區興華國民小學附設幼兒園,新北市,三芝區,公立,國小附設幼兒園,5號,(02)26371366#207,http://www.hhes.ntpc.edu.tw,30,,,,,無,官方主檔
K1AACB1D332,新北市私立幼親國際幼兒園,新北市,三芝區,私立,獨立幼兒園,公正街30號2樓、公正街34號,(02)26368323,,58,,,,,無,官方主檔
K4774F66FF9,新北市私立幼親幼兒園,新北市,三芝區,私立,獨立幼兒園,公正街60號2樓,(02)26368323,,32,,,,,無,官方主檔
K80D6D3BA9F,新北市私立敦品幼兒園,新北市,三芝區,私立,獨立幼兒園,中山路一段39號2樓、41號2樓,(02)86352801,,65,,,,,無,官方主檔
K12F1F24F76,新北市私立芝柏幼兒園,新北市,三芝區,私立,獨立幼兒園,觀海街1號1樓、2樓,(02)26361104,facebook.com/profile.php?id=100057493538036,70,,,,,無,官方主檔
K6E77273D30,新北市立三芝幼兒園,新北市,三芝區,公立,獨立幼兒園,民生街31號2樓,(02)26363047,http://daycare.ntpc.edu.tw/web/sanzhi/,73,,,,,無,官方主檔
K15AE79DDDA,新北市立三芝幼兒園福成分班,新北市,三芝區,公立,獨立幼兒園,中山路一段14號,(02)26361351,http://daycare.ntpc.edu.tw/web/sanzhi/,42,,,,,無,官方主檔
KF2230A7135,馬偕學校財團法人馬偕醫護管理專科學校附設新北市私立馬偕示範幼兒園,新北市,三芝區,私立,高中職大專附設幼兒園,中正路3段42號1樓,(02)26366799#3271,,60,,,,,無,官方主檔
K949AEF8790,品哲文化股份有限公司附設新北市私立英群幼兒園,新北市,三重區,私立,法人公司附設幼兒園,水漾路一段126號,(02)29728080,,270,,,,,無,官方主檔
K0D74748F5D,新北市三重區三光國民小學附設幼兒園,新北市,三重區,公立,國小附設幼兒園,大同南路157號,(02)29753308#671,,166,,,,,無,官方主檔
KF35B91096B,新北市三重區三重國民小學附設幼兒園,新北市,三重區,公立,國小附設幼兒園,三和路3段1號,(02)29722095#180,http://www.tsces.ntpc.edu.tw/default_page.asp,60,,,,,無,官方主檔
KF8B7F2074C,新北市三重區二重國民小學附設幼兒園,新北市,三重區,公立,國小附設幼兒園,大有街10號,(02)29846446#190,https://www.eces.ntpc.edu.tw/p/404-1000-562.php,60,,,,,無,官方主檔
K921EDFA71F,新北市三重區五華國民小學附設幼兒園,新北市,三重區,公立,國小附設幼兒園,集賢路89號,(02)28575431,http://www.whes.ntpc.edu.tw/,120,,,,,無,官方主檔
KD0E1C78217,新北市三重區修德國民小學附設幼兒園,新北市,三重區,公立,國小附設幼兒園,重陽路三段3號,(02)29800495#601,reurl.cc/A2K1bZ,60,,,,,無,官方主檔
K64D493DC7B,新北市三重區光榮國民小學附設幼兒園,新北市,三重區,公立,國小附設幼兒園,介壽路32號,(02)29730392#700,http://pps.ntpc.edu.tw,226,,,,,無,官方主檔
KACE95911C9,新北市三重區光興國民小學附設幼兒園,新北市,三重區,公立,國小附設幼兒園,正義南路62號,(02)29755352#170,https://www.kses.ntpc.edu.tw/p/403-1000-70.php,226,,,,,無,官方主檔
K350758D934,新北市三重區厚德國民小學附設幼兒園,新北市,三重區,公立,國小附設幼兒園,忠孝路一段70號1樓,(02)29868825#52,http://www.hdes.ntpc.edu.tw/,90,,,,,無,官方主檔
KD812363456,新北市三重區正義國民小學附設幼兒園,新北市,三重區,公立,國小附設幼兒園,信義西街31號,(02)29853138#1110,https://sites.google.com/jyes.ntpc.edu.tw/child,120,,,,,無,官方主檔
K7C85904F9D,新北市三重區永福國民小學附設幼兒園,新北市,三重區,公立,國小附設幼兒園,永福街66號,(02)22876716#891,http://www.yfps.ntpc.edu.tw,60,,,,,無,官方主檔
KF78CA315A6,新北市三重區碧華國民小學附設幼兒園,新北市,三重區,公立,國小附設幼兒園,五華街160號,(02)28577792#800,https://sites.google.com/bhes.ntpc.edu.tw/bheskid,210,,,,,無,官方主檔
K23562A2506,新北市三重區興穀國民小學附設幼兒園,新北市,三重區,公立,國小附設幼兒園,神農街101號,(02)29990725#150,http://www.skps.ntpc.edu.tw/,76,,,,,無,官方主檔
K30516ED1CB,新北市三重區重陽國民小學附設幼兒園,新北市,三重區,公立,國小附設幼兒園,中正北路113號,(02)29826272#320,https://sites.google.com/a/kidmail.ntpc.edu.tw/xin-bei-shi-san-zhong-qu-zhong-yang-guo-min-xiao-xue-,210,,,,,無,官方主檔
K36733F897C,新北市三重區集美國民小學附設幼兒園,新北市,三重區,公立,國小附設幼兒園,集美街10號,(02)89725390#150,https://sites.google.com/kidmail.ntpc.edu.tw/jmes/%E9%A6%96%E9%A0%81,120,,,,,無,官方主檔
K4574C62080,新北市碧城非營利幼兒園(委託財團法人仁德醫護管理專科學校辦理),新北市,三重區,非營利,獨立幼兒園,三信路166號1、2、3樓,(02)28577058,,120,109,13,9,,無,官方主檔＋決算報告
K2181162AA5,新北市私立三和幼兒園,新北市,三重區,私立,獨立幼兒園,三和路4段123號1、2、3樓,(02)22809318,,66,,,,,無,官方主檔
KCBF182EFF4,新北市私立三重忠孝幼兒園,新北市,三重區,私立,獨立幼兒園,中正北路145巷6弄1號,(02)29894383,,60,,,,,無,官方主檔
K05874DDED3,新北市私立上綸幼兒園,新北市,三重區,私立,獨立幼兒園,正義南路105巷13號1樓,(02)89723282,,38,,,,,無,官方主檔
KFA7D229879,新北市私立丹力幼兒園,新北市,三重區,私立,獨立幼兒園,重陽路3段154號1樓、152號2樓,(02)89883300,,72,,,,,無,官方主檔
K7CF9E85564,新北市私立仁慈幼兒園,新北市,三重區,私立,獨立幼兒園,"五華街21巷39號1,2樓",(02)89882711,,29,,,,,無,官方主檔
KE63FE0DF63,新北市私立來來幼兒園,新北市,三重區,私立,獨立幼兒園,"新北大道一段100巷11號1、2樓,13號1樓,15號1樓,17號2、3樓",(02)29893961,,113,,,,,無,官方主檔
K5859D858C7,新北市私立兒童天地幼兒園,新北市,三重區,私立,獨立幼兒園,力行路2段162巷3號1、2樓,(02)22865791,,27,,,,,無,官方主檔
KBE3D56F352,新北市私立加州森林國際幼兒園,新北市,三重區,私立,獨立幼兒園,三信路100號1樓、2樓、3樓,(02)28579000,,531,,,,,無,官方主檔
K5093D88190,新北市私立勁寶兒喜星園幼兒園,新北市,三重區,私立,獨立幼兒園,"成功路28號1,2樓",(02)89729002,,51,,,,,無,官方主檔
K70702B5FAD,新北市私立吉德幼兒園,新北市,三重區,私立,獨立幼兒園,新興路30號及32號1樓、2樓,(02)29771397,,70,,,,,無,官方主檔
KAE92A226A5,新北市私立吉的堡英資幼兒園,新北市,三重區,私立,獨立幼兒園,重陽路4段24號、26號、28號1~3樓,(02)29855548,,187,,,,,無,官方主檔
KCD9348B655,新北市私立啟文幼兒園,新北市,三重區,私立,獨立幼兒園,"溪尾街106號1,2,3樓",(02)22877049,,110,,,,,無,官方主檔
KA2C164256B,新北市私立喜星園幼兒園,新北市,三重區,私立,獨立幼兒園,成功路22號2樓之1,(02)89729002,,30,,,,,無,官方主檔
K65E1D7DAD9,新北市私立喬大幼兒園,新北市,三重區,私立,獨立幼兒園,力行路1段179巷10號1樓、2樓,(02)29899921,kids29899921@yahoo.com.tw,34,,,,,無,官方主檔
KB27821AF0D,新北市私立夏綠蒂幼兒園,新北市,三重區,私立,獨立幼兒園,五華街21巷15號1、2、3樓及13號2、3樓,(02)29863649,,138,,,,,無,官方主檔
K5282BB6A4C,新北市私立大全幼兒園,新北市,三重區,私立,獨立幼兒園,重陽路一段26巷37號、39號1樓,(02)29862497,,60,,,,,無,官方主檔
K644183571F,新北市私立天鵝園幼兒園,新北市,三重區,私立,獨立幼兒園,中正北路118巷3號1樓,(02)29711973,,34,,,,,無,官方主檔
KAB119698BB,新北市私立威妮斯特堡幼兒園,新北市,三重區,私立,獨立幼兒園,五華街161號1、2樓,(02)28572999,,170,,,,,無,官方主檔
K1598DB1EC7,新北市私立子禕天地幼兒園,新北市,三重區,私立,獨立幼兒園,光興街2號1、2樓,(02)29736113,,37,,,,,無,官方主檔
K2B0FB2987D,新北市私立學仕幼兒園,新北市,三重區,私立,獨立幼兒園,重新路三段202、204號2樓、3樓,(02)29747878,,93,,,,,無,官方主檔
K1E44301ED7,新北市私立安尼爾幼兒園,新北市,三重區,私立,獨立幼兒園,仁政街111、113號1樓,(02)89817555,gracea168@yahoo.com.tw,75,,,,,無,官方主檔
KC854360A5D,新北市私立宜德幼兒園,新北市,三重區,私立,獨立幼兒園,仁愛街445巷35、37、39、41號1樓,(02)29800352,,37,,,,,無,官方主檔
KDB3116B36A,新北市私立宥寶幼兒園,新北市,三重區,私立,獨立幼兒園,下竹圍街93巷1、3號1樓,(02)22802567,,45,,,,,無,官方主檔
K87BF1F4F53,新北市私立富群幼兒園,新北市,三重區,私立,獨立幼兒園,捷運路43號1、2、3樓,(02)29703228,,180,,,,,無,官方主檔
K8C7C82F947,新北市私立幼苗國際幼兒園,新北市,三重區,私立,獨立幼兒園,"中正北路165巷2號1樓,2樓,3樓",(02)89814080,,228,,,,,無,官方主檔
KE554881BEB,新北市私立強森園幼兒園,新北市,三重區,私立,獨立幼兒園,"三張街149巷16號1,2樓",(02)89814131,,38,,,,,無,官方主檔
K58BDD213E8,新北市私立徠安幼兒園,新北市,三重區,私立,獨立幼兒園,重安街12號1、2樓,(02)29776789,,51,,,,,無,官方主檔
K6F5C79B059,新北市私立復國幼兒園,新北市,三重區,私立,獨立幼兒園,仁義街211巷3、5號,(02)29883299,無,36,,,,,無,官方主檔
K12377A9D26,新北市私立惠文兒童領袖幼兒園,新北市,三重區,私立,獨立幼兒園,五華街207號1、2、3樓,(02)28570626,,237,,,,,無,官方主檔
K350B0295E3,新北市私立惠文幼兒園,新北市,三重區,私立,獨立幼兒園,五華街149號1樓,(02)28570626#101,,60,,,,,無,官方主檔
KD72644FF30,新北市私立愛箂兒幼兒園,新北市,三重區,私立,獨立幼兒園,集美街121號1樓及2樓、119號2樓、成功路73巷35號2樓,(02)29778696,,74,,,,,無,官方主檔
K2C0C2B3AE7,新北市私立探索幼兒園,新北市,三重區,私立,獨立幼兒園,重新路四段57號1樓,(02)89811737#11,,60,,,,,無,官方主檔
KFFE78C9E0F,新北市私立新二重幼兒園,新北市,三重區,私立,獨立幼兒園,忠孝路三段93巷6號2樓,(02)89815751,,29,,,,,無,官方主檔
K71F7BAB2E4,新北市私立新學林幼兒園,新北市,三重區,私立,獨立幼兒園,仁義街307號1、2樓,(02)28575598,,36,,,,,無,官方主檔
K8EF892902E,新北市私立新寰宇國際幼兒園,新北市,三重區,私立,獨立幼兒園,集仁街81號1、2、3樓,(02)2857-8081,,180,,,,,無,官方主檔
KA21C8DBE6B,新北市私立新永福幼兒園,新北市,三重區,私立,獨立幼兒園,力行路2段136巷23弄20號2樓及22、24、26號1、2樓,(02)22869049,,109,,,,,無,官方主檔
K7732459ACB,新北市私立新碧華幼兒園,新北市,三重區,私立,獨立幼兒園,分子尾街32號1樓,(02)29896058,http://bihua.52school.com.tw,90,,,,,無,官方主檔
K3F9DB76308,新北市私立東光幼兒園,新北市,三重區,私立,獨立幼兒園,仁壽街200號,(02)29732617,163.20.166.222/kids/Homepage.php?,60,,,,,無,官方主檔
K7F1898A349,新北市私立班博士幼兒園,新北市,三重區,私立,獨立幼兒園,三和路1段48號1、2樓、50號1、2樓,(02)29725412,,68,,,,,無,官方主檔
K4B57478903,新北市私立甜甜幼兒園,新北市,三重區,私立,獨立幼兒園,三和路三段83巷1、3、5、7號1樓及9號1~2樓,(02)29729876,,150,,,,,無,官方主檔
K0184D2B4C8,新北市私立翊華三重國際幼兒園,新北市,三重區,私立,獨立幼兒園,集賢路181號,(02)28572045,,195,,,,,無,官方主檔
KA5A5219640,新北市私立肯妮斯幼兒園,新北市,三重區,私立,獨立幼兒園,三信路7號1、2樓及9號2樓,(02)28579988,,65,,,,,無,官方主檔
K25BC6F140A,新北市私立育林幼兒園,新北市,三重區,私立,獨立幼兒園,頂崁街187巷4號、6號1樓,(02)29811051,,60,,,,,無,官方主檔
K0AD16512D9,新北市私立艾力克幼兒園,新北市,三重區,私立,獨立幼兒園,三和路2段37號3樓,(02)29783755,,75,,,,,無,官方主檔
KC106DB84A9,新北市私立艾美樂幼兒園,新北市,三重區,私立,獨立幼兒園,集美街112巷9號1樓、2樓、11號1樓,(02)29753317,,51,,,,,無,官方主檔
KD31C7C0285,新北市私立英嘉幼兒園,新北市,三重區,私立,獨立幼兒園,三和路三段16巷2、4、6、8號1樓,(02)29822666,,300,,,,,無,官方主檔
K700CB71ED7,新北市私立茱莉亞園幼兒園,新北市,三重區,私立,獨立幼兒園,三民路175巷25號1-2樓、27號1-3樓、重陽路2段52巷83弄4號1樓、6號1-3樓,(02)29850500,http:/juilliard97@yahoo.com.tw,175,,,,,無,官方主檔
K2F6ADCA7E4,新北市私立華兒園精緻幼兒園,新北市,三重區,私立,獨立幼兒園,三和路二段75號2樓,(02)29761536,,61,,,,,有，人數：13,官方主檔
K8465C585FC,新北市私立華納幼兒園,新北市,三重區,私立,獨立幼兒園,新北大道一段115號1、2樓,(02)89826868,,170,,,,,無,官方主檔
KBFD6E32449,新北市私立華芯國際幼兒園,新北市,三重區,私立,獨立幼兒園,光復路1段45號、45號之2,(02)29958811,,167,,,,,無,官方主檔
K9D7999A732,新北市私立藤井樹幼兒園,新北市,三重區,私立,獨立幼兒園,五華街122巷3號(門牌整編含5號)1樓,(02)29818500,,39,,,,,無,官方主檔
K98D0D5B042,新北市私立蘋果樹仁政幼兒園,新北市,三重區,私立,獨立幼兒園,仁政街76巷6、8、10、12號各1樓及6號2樓、12號2樓,(02)29850518,,85,,,,,有，人數：10,官方主檔
K39E2D69ECA,新北市私立象寶園幼兒園,新北市,三重區,私立,獨立幼兒園,"忠孝路三段40巷59號1,2,3樓",(02)89818593,,66,,,,,無,官方主檔
KA0D069142A,新北市私立邦仁幼兒園,新北市,三重區,私立,獨立幼兒園,溪尾街328號1、2樓,(02)28575786,,56,,,,,無,官方主檔
K32CF7F65CB,新北市私立邦喬妮幼兒園,新北市,三重區,私立,獨立幼兒園,"五華街21巷3號1樓,5樓1樓",(02)29831314,,32,,,,,無,官方主檔
K4D2AD16E47,新北市私立重愛幼兒園,新北市,三重區,私立,獨立幼兒園,忠孝路三段40巷1之1號1、2樓,(02)29776688,,41,,,,,有，人數：3,官方主檔
KAA514EB121,新北市私立重愛幼兒園三民分班,新北市,三重區,私立,獨立幼兒園,三民街206之2號2樓,(02)29783188,,30,,,,,無,官方主檔
K26FA97769F,新北市私立重新幼兒園,新北市,三重區,私立,獨立幼兒園,重新路二段21號2樓,(02)29854162,,57,,,,,無,官方主檔
K0C4CB2E39C,新北市私立金吉邇幼兒園,新北市,三重區,私立,獨立幼兒園,洛陽街55巷16號,(02)8981-2079,,51,,,,,無,官方主檔
K7935460087,新北市私立長頸鹿吉凱幼兒園,新北市,三重區,私立,獨立幼兒園,興德路100號1~2樓,(02)85121800,http://giraffe.topschool.com.tw/,80,,,,,無,官方主檔
KB35032AB80,新北市私立鼎群幼兒園,新北市,三重區,私立,獨立幼兒園,福德北路50號1樓,(02)29706018,,29,,,,,無,官方主檔
K1659FB96D1,新北市立三和國民中學附設幼兒園,新北市,三重區,公立,國中附設幼兒園,三和路四段216號,(02)22879890#777,sites.google.com/view/shjhkid/%E9%A6%96%E9%A0%81,120,,,,,無,官方主檔
K567B392395,新北市立三重幼兒園,新北市,三重區,公立,獨立幼兒園,新北大道一段9號3樓,(02)89838241,http://daycare.ntpc.edu.tw/web/sanchong/,94,,,,,無,官方主檔
K3A86FBF0CD,新北市立三重幼兒園崇德分班,新北市,三重區,公立,獨立幼兒園,仁孝街62號1樓,(02)29725078,https://sanchong68174646.blogspot.com/,80,,,,,無,官方主檔
K5DB9F32D9F,新北市立三重高級中學附設幼兒園,新北市,三重區,公立,高中職大專附設幼兒園,集美街212號,(02)29760501#410,,106,,,,,無,官方主檔
K2023FC2143,新北市立二重國民中學附設幼兒園,新北市,三重區,公立,國中附設幼兒園,忠孝路三段89號,(02)29800164,http://www.ecjh.ntpc.edu.tw/default_page.asp,152,,,,,無,官方主檔
K762CE9A9BD,新北市立光榮國民中學附設幼兒園,新北市,三重區,公立,國中附設幼兒園,介壽路26號,(02)29780211,http://www.grjh.ntpc.edu.tw/news/u_news_v1.asp?id={20729EA6-53B7-42A5-BB16-3FE741A0DCA6},210,,,,,無,官方主檔
KFFAF1E24B5,新北市立明志國民中學附設幼兒園,新北市,三重區,公立,國中附設幼兒園,中正北路107號,(02)29844132#369,,196,,,,,無,官方主檔
KC785288E25,新北市立碧華國民中學附設幼兒園,新北市,三重區,公立,國中附設幼兒園,三信路166號,(02)29851121#600,http://www.bhjh.ntpc.edu.tw,60,,,,,無,官方主檔
K16B45C9C97,財團法人天主教會台北教區附設新北市私立母心幼兒園,新北市,三重區,私立,法人公司附設幼兒園,大同北路115巷3號1樓,(02)29711193,http://www.kjftw.org.tw/school13/school13-index.html,180,,,,,無,官方主檔
KB629445125,內政部國土管理署北區都市基礎工程分署職場互助教保服務中心(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理),新北市,中和區,私立,職場互助教保服務中心,南山路60之2號,(02)22438282,https://www.facebook.com/cpaminorthedu,30,,,,,無,官方主檔
KC27DA49CC7,國防部陸軍司令部前鋒員工子女非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理),新北市,中和區,非營利,獨立幼兒園,連城路152號1樓,(02)22467676,,60,,,,,無,官方主檔
KC7B4BBF4E3,新北市中和區中和國民小學附設幼兒園,新北市,中和區,公立,國小附設幼兒園,中和路100號,(02)22492550#280,http://tw.class.uschoolnet.com/class/?csid=css000000040275,226,,,,,無,官方主檔
KF61400F326,新北市中和區光復國民小學附設幼兒園,新北市,中和區,公立,國小附設幼兒園,光環路2段1號,(02)32348654#265,https://sites.google.com/view/kfeskid,272,,,,,無,官方主檔
KBF28042D50,新北市中和區復興國民小學附設幼兒園,新北市,中和區,公立,國小附設幼兒園,復興路301巷6號,(02)22472993#251,,120,,,,,無,官方主檔
